Time	JIH	JIV	JDH	JDV
0.0,	 0.50, -0.10, -1.00, -0.30
0.1,	 0.50, -0.10, -1.00, -0.30
0.2,	 0.50, -0.10, -1.00, -0.30
0.3,	 0.50, -0.10, -1.00, -0.30
0.4,	 0.50, -0.10, -1.00, -0.30
0.5,	 0.50, -0.10, -1.00, -0.30
0.6,	 0.50, -0.10, -1.00, -0.30
0.7,	 0.50, -0.10, -1.00, -0.30
0.8,	 0.50, -0.10, -1.00, -0.30
0.9,	 0.50, -0.10, -1.00, -0.30
1.0,	 0.50, -0.10, -1.00, -0.30
1.1,	 0.50, -0.10, -1.00, -0.30
1.2,	 0.50, -0.10, -1.00, -0.30
1.3,	 0.50, -0.10, -1.00, -0.30
1.4,	-0.50,  0.10,  1.00,  0.30
1.5,	-0.50,  0.10,  1.00,  0.30
1.6,	-0.50,  0.10,  1.00,  0.30
1.7,	-0.50,  0.10,  1.00,  0.30
1.8,	-0.50,  0.10,  1.00,  0.30
1.9,	-0.50,  0.10,  1.00,  0.30
2.0,	-0.50,  0.10,  1.00,  0.30
2.1,	-0.50,  0.10,  1.00,  0.30
2.2,	-0.50,  0.10,  1.00,  0.30
2.3,	-0.50,  0.10,  1.00,  0.30
2.4,	-0.50,  0.10,  1.00,  0.30
2.5,	 0.00,  0.00,  0.00,  0.00
